Name,CodeName,Category,Count,Weight
TE FUNDAMENTALS COURSE AUTHOR LAUNCH 2022,FUND_AUTHOR, POE,4.0,20.0
Token Engineering @EthCC Paris 2023 - Speaker,SPEAKER_ETHCC_PARIS23,POE,7.0,16.0
TE FUNDAMENTALS 1,FUND_MOD_1,POK,332.0,7.0
TE FUNDAMENTALS 2,FUND_MOD_2,POK,249.0,7.0
TE FUNDAMENTALS 3,FUND_MOD_3,POK,168.0,7.0
TE FUNDAMENTALS 4,FUND_MOD_4,POK,127.0,7.0
TE FUNDAMENTALS 5,FUND_MOD_5,POK,129.0,7.0
NFT-based Reputation in Web3,NFTREP_V1,POK,57.0,3.0
ETHCC Attendance in 2023,ETHCC_23, POA, 20.0, 1.0
Token Engineering Barcamp - Speaker - Paris 2023,SPEAKER_BARCAMP_PARIS_23,POE,12.0,12.0
Token Engineering Barcamp - Paris 2023,BARCAMP_PARIS_23,POA,23.0,5.0
Token Engineering Barcamp - Team - Paris 2023,TEAM_BARCAMP_PARIS_23,POC,11.0,1.0
TE FUNDAMENTALS STUDY GROUP HOST 2022/2023,STUDY_GROUP_HOST_FUND_22_23,POC,21.0,10.0
TE FUNDAMENTALS STUDY GROUP HOST C2 2022/2023,STUDY_GROUP_HOST_C2_22_23,POC,1.0,10.0
TE360 STUDY GROUP HOST 2022,STUDY_GROUP_HOST_360_22,POC,0.0,10.0
STUDY_SEASON_REGISTRATION,STUDY_SEASON_REGISTRATION,POA,250.0,1.0
LIVE_TRACK_1,LIVE_TRACK_1,POK,30.0,10.0
LIVE_TRACK_3,LIVE_TRACK_3,POK,30.0,10.0
LIVE_TRACK_4,LIVE_TRACK_4,POK,30.0,10.0
LIVE_TRACK_5,LIVE_TRACK_5,POK,30.0,10.0
LIVE_TRACK_6,LIVE_TRACK_6,POK,30.0,10.0
LIVE_TRACK_7,LIVE_TRACK_7,POK,30.0,10.0
LIVE_TRACK_8,LIVE_TRACK_8,POK,30.0,10.0
FELLOWSHIP_COMM,FELLOWSHIP_COMM,POE,10.0,16.0
STUDY_SEASON_SPEAKER,STUDY_SEASON_SPEAKER,POE,8.0,16.0
"TE Fundamentals ""We made it""",FUND_WE_MADE_IT,POC,20.0,10.0
Set TEF 3&4,FUND_MOD_3_AND_4,F,,5.0
Set TEF ALL,FUND_ALL,F,,10.0
